"sim_number","bootstrap_num","strain1","strain2","clusters_pop1_b","clusters_pop2_b","cells_pop1_b","cells_pop2_b","total_clusters_b","total_cells_b","clusters_pop1_a","clusters_pop2_a","cells_pop1_a","cells_pop2_a","total_clusters_a","total_cells_a","carr_cap"
38,24,"petite","second",3678,4112,353753,646275,8224,1292550,275,412,28692,71439,824,142878,"10mill-boot"
38,25,"petite","second",3784,4051,364484,635548,8102,1271096,272,421,28664,71337,842,142674,"10mill-boot"
38,26,"petite","second",3596,4135,349834,650209,8270,1300418,267,446,27442,72798,892,145596,"10mill-boot"
38,27,"petite","second",3717,4162,359160,641111,8324,1282222,253,447,25746,74308,894,148616,"10mill-boot"
38,28,"petite","second",3804,4024,368483,631594,8048,1263188,294,417,30750,69316,834,138632,"10mill-boot"
38,29,"petite","second",3709,4084,360577,639560,8168,1279120,260,422,26684,73584,844,147168,"10mill-boot"
38,30,"petite","second",3748,4089,365806,634208,8178,1268416,275,411,27991,72141,822,144282,"10mill-boot"
5,1,"petite","second",3820,4153,372823,627352,8306,1254704,274,443,28582,71533,886,143066,"10mill-boot"
5,2,"petite","second",3777,4193,367889,632159,8386,1264318,270,431,29037,71014,862,142028,"10mill-boot"
5,3,"petite","second",3640,4212,355482,644533,8424,1289066,271,442,28183,72106,884,144212,"10mill-boot"
5,4,"petite","second",3743,4197,362791,637324,8394,1274648,279,443,27147,72865,886,145730,"10mill-boot"
5,5,"petite","second",3885,4093,376774,623339,8186,1246678,285,428,29705,70494,856,140988,"10mill-boot"
5,6,"petite","second",3723,4211,364940,635234,8422,1270468,287,416,30694,69315,832,138630,"10mill-boot"
5,7,"petite","second",3764,4167,369520,630503,8334,1261006,266,437,27817,72250,874,144500,"10mill-boot"
5,8,"petite","second",3702,4207,361559,638482,8414,1276964,272,439,28184,72011,878,144022,"10mill-boot"
5,9,"petite","second",3811,4112,372158,627868,8224,1255736,288,429,29735,70349,858,140698,"10mill-boot"
5,10,"petite","second",3863,4156,376192,623866,8312,1247732,315,430,31916,68211,860,136422,"10mill-boot"
5,11,"petite","second",3814,4166,368454,631657,8332,1263314,263,426,29340,70694,852,141388,"10mill-boot"
5,12,"petite","second",3709,4212,366965,633046,8424,1266092,283,433,29038,70973,866,141946,"10mill-boot"
5,13,"petite","second",3678,4197,360689,639316,8394,1278632,296,425,30684,69352,850,138704,"10mill-boot"
5,14,"petite","second",3733,4195,367610,632399,8390,1264798,272,453,27761,72300,906,144600,"10mill-boot"
5,15,"petite","second",3766,4179,367184,632820,8358,1265640,251,450,26096,74005,900,148010,"10mill-boot"
5,16,"petite","second",3737,4241,362852,637158,8482,1274316,296,424,30815,69346,848,138692,"10mill-boot"
